id,name,image_url
morales,Dianne Morales,https://fairvotereform.github.io/rcv_viz/images/DianneMorales.png
stringer,Scott Stringer,https://fairvotereform.github.io/rcv_viz/images/ScottStringer.png
wiley,Maya Wiley,https://fairvotereform.github.io/rcv_viz/images/MayaWiley.png
garcia,Kathryn Garcia,https://fairvotereform.github.io/rcv_viz/images/KathrynGarcia.png
adams,Eric Adams,https://fairvotereform.github.io/rcv_viz/images/EricAdams.png
donovan,Shaun Donovan,https://fairvotereform.github.io/rcv_viz/images/ShaunDonavan.png
yang,Andrew Yang,https://fairvotereform.github.io/rcv_viz/images/AndrewYang2.png
