ballotID,rank1,rank2,rank3,Gender,Age,Urbanicity,weight
207873XXXX,1,5,,1,2,2,0.448147756
207521XXXX,2,5,,2,2,3,0.416351438
207342XXXX,2,5,,2,2,3,1.365038349
207247XXXX,1,5,,1,1,3,1.313174934
207236XXXX,1,2,3,2,1,2,1.164721108
207338XXXX,2,3,4,1,2,2,1.402832202
207878XXXX,2,4,1,2,2,2,1.365038349
207549XXXX,2,5,,2,2,3,0.388206469
207933XXXX,2,1,4,2,2,,0.524591059
207723XXXX,2,1,5,1,2,3,1.402832202
207333XXXX,2,1,5,1,2,1,1.31080641
207283XXXX,2,1,5,2,2,2,0.814063197
207799XXXX,2,1,4,2,2,2,0.524591059
207622XXXX,2,1,5,1,2,1,0.479610184
207938XXXX,3,1,5,2,2,,0.362740125
207363XXXX,2,1,4,2,2,2,0.232923882
207899XXXX,2,1,5,2,2,,0.388206469
207781XXXX,2,1,5,1,2,2,0.514381922
207474XXXX,2,1,4,1,2,3,1.299533302
207761XXXX,2,1,5,1,2,1,0.24623922
207244XXXX,1,2,4,1,2,3,0.626666362
207338XXXX,1,2,4,2,2,1,0.388206469
207934XXXX,4,2,5,2,1,1,0.760737848
207733XXXX,1,2,5,2,2,3,0.562623911
207353XXXX,4,2,1,2,2,2,0.416351438
207897XXXX,1,2,4,2,2,2,0.524591059
207594XXXX,1,2,5,1,2,1,0.479610184
207298XXXX,4,2,5,1,2,3,1.402832202
207244XXXX,4,2,5,1,2,3,1.211686063
207568XXXX,1,2,5,2,2,3,0.524591059
207839XXXX,4,2,5,2,2,3,0.89284467
207255XXXX,1,2,4,2,2,3,0.388206469
207799XXXX,4,2,5,1,2,2,0.479610184
207326XXXX,4,2,5,1,2,3,0.479610184
207372XXXX,4,2,5,1,2,3,0.479610184
207643XXXX,4,2,5,1,2,3,1.211686063
207783XXXX,4,2,5,1,2,2,0.479610184
207546XXXX,4,2,5,2,2,3,0.416351438
207262XXXX,1,2,5,1,2,3,1.31080641
207871XXXX,4,2,5,2,2,3,0.362740125
207588XXXX,1,2,5,2,2,1,0.562623911
207667XXXX,1,2,4,2,2,1,1.275491833
207364XXXX,1,2,5,1,2,,0.440152605
207524XXXX,1,3,2,1,2,3,0.410398699
207582XXXX,2,3,4,1,2,3,1.402832202
207942XXXX,2,3,1,1,2,1,0.479610184
207375XXXX,2,3,4,2,2,4,1.247347779
207797XXXX,2,3,5,2,2,4,0.524591059
207784XXXX,1,3,4,1,2,1,0.440152605
207285XXXX,1,3,4,1,2,3,0.448147756
207892XXXX,2,3,4,1,2,2,1.402832202
207666XXXX,1,3,4,1,2,3,0.383476545
207655XXXX,1,3,4,1,2,2,0.727011638
207853XXXX,1,3,4,2,2,3,0.490177886
207384XXXX,2,3,4,1,2,2,0.440152605
207315XXXX,1,3,4,2,1,1,1.184722409
207938XXXX,1,3,4,2,2,3,0.362740125
207846XXXX,1,3,5,2,2,2,0.957575909
207853XXXX,1,3,4,1,2,3,1.299533302
207536XXXX,2,4,5,2,2,4,0.314754635
207288XXXX,2,4,5,2,2,3,0.524591059
207757XXXX,1,4,5,1,2,3,0.383476545
207683XXXX,2,4,5,2,2,3,0.524591059
207773XXXX,2,4,5,2,2,1,0.388206469
207853XXXX,2,4,5,2,2,3,0.89284467
207596XXXX,2,4,5,2,2,2,0.524591059
207666XXXX,2,4,5,2,2,3,0.89284467
207946XXXX,2,4,3,2,2,2,0.562623911
207238XXXX,1,4,5,2,2,1,1.247347779
207763XXXX,2,4,5,1,2,3,1.299533302
207467XXXX,2,4,5,1,2,2,0.28776611
207853XXXX,2,4,5,1,1,3,1.410541665
207359XXXX,2,4,5,1,2,3,0.514381922
207236XXXX,2,4,1,1,2,2,0.479610184
207948XXXX,2,4,5,1,1,3,0.442303146
207803XXXX,2,4,5,1,2,3,0.479610184
207833XXXX,2,4,3,1,1,2,1.410541665
207667XXXX,2,4,5,1,2,2,0.410398699
207728XXXX,2,4,3,1,2,3,0.410398699
207529XXXX,2,4,5,1,2,3,1.044443936
207866XXXX,2,4,5,1,2,,0.479610184
207398XXXX,2,4,5,1,2,3,4.625775363
207781XXXX,2,4,1,2,2,2,0.388206469
207582XXXX,2,4,1,2,2,1,0.524591059
207732XXXX,2,4,5,2,2,3,0.388206469
207763XXXX,2,4,3,2,1,3,1.359818904
207829XXXX,2,4,5,2,2,2,2.229634155
207354XXXX,2,4,5,2,2,3,0.388206469
207688XXXX,2,4,5,2,2,3,0.388206469
207839XXXX,2,4,5,2,2,2,0.388206469
207883XXXX,2,4,5,2,2,2,0.388206469
207885XXXX,2,4,5,2,2,2,0.524591059
207930XXXX,2,4,5,2,2,4,0.388206469
207865XXXX,2,4,1,2,2,2,0.388206469
207353XXXX,2,4,3,2,2,2,0.488437918
207853XXXX,2,4,5,2,2,3,0.314754635
207548XXXX,2,4,5,2,1,1,1.67508401
207872XXXX,2,4,5,2,2,2,0.562623911
207377XXXX,2,4,3,1,2,1,0.479610184
207773XXXX,2,4,5,1,2,1,0.479610184
207524XXXX,2,4,5,1,2,3,0.479610184
207695XXXX,2,4,5,1,2,3,1.402832202
207805XXXX,2,4,5,1,2,2,0.410398699
207867XXXX,2,4,5,1,2,3,0.479610184
207985XXXX,2,4,1,1,2,3,0.479610184
