ballotID,1,2,3,4,Gender,Age,Urbanicity,weight
207696XXXX,c1,c3,c6,,1,1,3,0.442303146
207845XXXX,c1,c2,c3,c4,2,2,3,0.388206469
207442XXXX,c1,c3,c4,c2,1,2,3,0.975928414
207234XXXX,c4,c5,c6,,1,2,3,0.514381922
207353XXXX,c1,c2,c3,c4,2,2,3,0.524591059
207832XXXX,c1,c2,c4,c3,2,2,3,0.388206469
207892XXXX,c1,c3,c2,c4,1,2,2,0.479610184
207725XXXX,c1,c2,c3,c4,2,1,3,1.267896414
207253XXXX,c1,c3,c4,c5,1,2,1,0.24623922
207783XXXX,c1,c4,c3,c2,2,2,2,0.89284467
207568XXXX,c3,c1,c4,c6,2,2,3,0.416351438
207850XXXX,c1,c4,c3,c2,2,1,3,1.336861503
207562XXXX,c5,c1,c6,,2,2,3,1.464003629
207549XXXX,c1,c2,c3,c4,1,2,3,1.299533302
207439XXXX,c3,c1,c2,c6,1,2,2,0.28776611
207549XXXX,c3,c4,c1,c6,1,2,3,0.28776611
207594XXXX,c1,c3,c2,c4,1,1,1,0.789114218
207234XXXX,c1,c3,c6,,2,2,3,0.388206469
207763XXXX,c3,c1,c6,,1,2,3,1.299533302
207374XXXX,c1,c3,c6,,2,2,3,0.416351438
207659XXXX,c1,c4,c2,c3,1,2,1,0.24623922
207696XXXX,c1,c2,c3,c6,1,2,3,0.514381922
207847XXXX,c1,c4,c6,,1,2,2,0.448147756
207234XXXX,c3,c1,c6,,1,2,3,0.479610184
207498XXXX,c5,c4,c3,c2,1,2,2,1.31080641
207403XXXX,c1,c4,c3,c2,2,2,3,0.524591059
207728XXXX,c1,c2,c3,c4,1,2,2,0.440152605
207288XXXX,c1,c2,c3,c4,2,2,2,0.819023009
207276XXXX,c1,c5,c6,,2,2,3,0.524591059
207364XXXX,c5,c1,c4,c2,2,2,3,1.464003629
207839XXXX,c1,c3,c2,c4,2,2,3,1.365038349
207897XXXX,c1,c5,c6,,2,2,2,0.388206469
207537XXXX,c1,c3,c4,c2,2,2,3,0.388206469
207278XXXX,c1,c2,c3,c4,1,2,3,0.440152605
207926XXXX,c5,c3,c6,,1,2,4,0.24623922
207583XXXX,c1,c2,c3,c4,1,2,3,0.479610184
207998XXXX,c1,c2,c3,c4,1,2,3,0.448147756
207439XXXX,c5,c4,c2,c6,2,2,4,1.464003629
207465XXXX,c1,c2,c3,c4,2,2,2,0.814063197
207858XXXX,c1,c2,c3,c6,2,2,3,0.416351438
207847XXXX,c5,c3,c4,c2,2,2,3,0.490177886
207588XXXX,c5,c4,c2,c1,2,2,3,0.314754635
207895XXXX,c1,c3,c2,c4,1,2,3,1.402832202
207364XXXX,c1,c4,c2,c3,1,2,2,0.448147756
207864XXXX,c5,c3,c2,c4,1,1,3,1.14408453
207562XXXX,c5,c3,c2,c4,1,2,3,2.775465218
207472XXXX,c1,c3,c2,c5,1,2,1,0.626666362
207729XXXX,c5,c3,c4,c2,1,2,2,1.132199457
207892XXXX,c1,c3,c2,c4,1,2,2,0.440152605
207442XXXX,c1,c2,c3,c4,1,2,3,4.961144077
207885XXXX,c3,c2,c1,c4,1,2,3,1.299533302
207667XXXX,c5,c4,c3,c2,1,2,3,0.440152605
207729XXXX,c1,c2,c3,c4,1,2,2,0.383476545
