id,name,image_url
DianneMorales,Dianne Morales,https://fairvotereform.github.io/rcv_viz/images/DianneMorales.png
ScottStringer,Scott Stringer,https://fairvotereform.github.io/rcv_viz/images/ScottStringer.png
MayaWiley,Maya Wiley,https://fairvotereform.github.io/rcv_viz/images/MayaWiley.png
KathrynGarcia,Kathryn Garcia,https://fairvotereform.github.io/rcv_viz/images/KathrynGarcia.png
EricAdams,Eric Adams,https://fairvotereform.github.io/rcv_viz/images/EricAdams.png
ShaunDonovan,Shaun Donovan,https://fairvotereform.github.io/rcv_viz/images/ShaunDonavan.png
AndrewYang,Andrew Yang,https://fairvotereform.github.io/rcv_viz/images/AndrewYang2.png
RayMcGuire,Ray McGuire,https://fairvotereform.github.io/rcv_viz/images/RayMcGuire.jpg
