id,name,image_url
c1,Ted Cruz,https://fairvotereform.github.io/rcv_viz/images/JoeBiden.jpg
c2,Nikki Haley,https://fairvotereform.github.io/rcv_viz/images/MichaelBloomberg.jpg
c3,Mike Pence,https://fairvotereform.github.io/rcv_viz/images/PeteButtigieg.jpg
c4,Marco Rubio,https://fairvotereform.github.io/rcv_viz/images/TulsiGabbard.jpg
c5,Donald Trump Jr.,https://fairvotereform.github.io/rcv_viz/images/AmyKlobuchar.jpg
c6,Ivanka Trump,https://fairvotereform.github.io/rcv_viz/images/BernieSanders.jpg
