ballotID,1,2,3,Gender,Age ,Education,weight
207576XXXX,7,,,1,70,2,0.948418547
207554XXXX,7,,,2,64,3,0.900005082
207694XXXX,7,,,2,65,2,0.808040376
207521XXXX,7,,,2,47,3,1.134656882
207460XXXX,7,,,1,72,3,0.948418547
207554XXXX,3,7,,1,54,1,1.336749921
207316XXXX,7,,,1,44,2,1.352768032
207522XXXX,7,,,2,65,2,0.808040376
207446XXXX,7,,,2,69,3,0.808040376
207491XXXX,7,,,2,66,2,0.808040376
207931XXXX,7,,,2,59,3,0.900005082
207351XXXX,7,,,2,65,3,0.808040376
207491XXXX,7,,,1,44,2,1.352768032
207320XXXX,7,,,1,70,3,0.948418547
207778XXXX,7,,,1,69,1,0.948418547
207664XXXX,1,7,,2,53,3,1.134656882
207266XXXX,7,,,2,66,1,0.808040376
207735XXXX,6,7,,2,64,2,0.900005082
207664XXXX,7,,,1,67,3,0.948418547
207460XXXX,7,,,1,58,1,1.319873973
207266XXXX,7,,,1,40,1,1.352768032
207313XXXX,3,7,,1,35,3,1.352768032
207402XXXX,7,,,1,55,3,1.319873973
207877XXXX,1,7,,2,44,2,1.093980457
207754XXXX,4,7,,2,42,3,1.093980457
207592XXXX,7,,,2,53,2,1.134656882
207242XXXX,3,7,,2,73,1,0.808040376
207692XXXX,7,,,2,18,1,0.625837025
207660XXXX,2,7,,1,80,3,0.582630106
207314XXXX,7,,,1,57,1,1.319873973
207314XXXX,5,7,,1,48,3,1.336749921
207890XXXX,7,,,2,50,3,1.134656882
207890XXXX,3,7,,2,65,2,0.808040376
207766XXXX,7,,,2,68,1,0.808040376
207890XXXX,7,,,2,63,1,0.900005082
207357XXXX,3,7,,2,65,2,0.808040376
207890XXXX,7,,,1,56,3,1.319873973
207212XXXX,7,,,1,66,1,0.948418547
207595XXXX,7,,,1,36,1,1.352768032
207364XXXX,5,7,,1,57,3,1.319873973
207478XXXX,7,,,2,35,2,1.093980457
207951XXXX,7,,,2,61,3,0.900005082
207702XXXX,7,,,2,30,3,1.041742569
207745XXXX,4,7,,2,52,3,1.134656882
207949XXXX,2,7,,2,34,3,1.041742569
207299XXXX,7,,,2,36,2,1.093980457
207659XXXX,3,7,,2,72,2,0.808040376
207907XXXX,7,,,2,64,1,0.900005082
207356XXXX,7,,,2,83,2,0.894520907
207745XXXX,3,7,,2,56,2,0.900005082
207944XXXX,7,,,1,68,2,0.948418547
207922XXXX,3,7,,1,67,2,0.948418547
207479XXXX,7,,,1,63,2,1.319873973
207270XXXX,3,7,,1,75,2,0.582630106
207944XXXX,7,,,1,74,3,0.948418547
207944XXXX,6,7,,1,61,3,1.319873973
207447XXXX,4,7,,1,71,3,0.948418547
207280XXXX,3,7,,2,65,2,0.808040376
207343XXXX,7,,,1,46,2,1.336749921
207876XXXX,7,,,1,65,1,0.948418547
207399XXXX,4,7,,2,54,2,1.134656882
207240XXXX,7,,,2,69,3,0.808040376
207399XXXX,7,,,2,88,1,0.894520907
207841XXXX,7,,,2,78,2,0.894520907
207416XXXX,7,,,1,37,3,1.352768032
207858XXXX,7,,,1,55,1,1.319873973
207322XXXX,5,7,,2,35,1,1.093980457
207323XXXX,7,,,1,75,2,0.582630106
207598XXXX,7,,,2,58,2,0.900005082
207356XXXX,5,7,,2,43,3,1.093980457
207214XXXX,7,,,2,73,1,0.808040376
207214XXXX,7,,,2,29,2,1.041742569
207632XXXX,7,,,1,55,1,1.319873973
207862XXXX,2,,,1,45,3,1.336749921
207876XXXX,3,7,,2,87,2,0.894520907
207667XXXX,1,3,,2,73,2,0.808040376
207565XXXX,1,7,,2,71,2,0.808040376
207379XXXX,2,7,,2,67,3,0.808040376
207783XXXX,2,7,,2,79,1,0.894520907
207353XXXX,3,1,,2,86,1,0.894520907
207753XXXX,3,5,,2,74,1,0.808040376
207246XXXX,3,6,,2,67,2,0.808040376
207268XXXX,3,7,,2,71,2,0.808040376
207327XXXX,3,7,,2,60,3,0.900005082
207488XXXX,3,7,,2,85,1,0.894520907
207564XXXX,3,7,,2,65,3,0.808040376
207696XXXX,3,7,,2,73,1,0.808040376
207743XXXX,3,7,,2,79,2,0.894520907
207782XXXX,3,7,,2,90,2,0.894520907
207868XXXX,3,7,,2,87,2,0.894520907
207935XXXX,3,7,,2,89,2,0.894520907
207943XXXX,3,7,,2,77,2,0.894520907
207548XXXX,4,7,,2,75,3,0.894520907
207327XXXX,5,7,,2,48,3,1.134656882
207778XXXX,5,7,,2,78,2,0.894520907
207827XXXX,6,7,,2,64,2,0.900005082
207223XXXX,7,,,2,41,2,1.093980457
