ballotID,1,2,3,Gender,Age ,Education,weight
207862XXXX,4,2,6,1,79,3,0.582630106
207635XXXX,5,3,6,1,70,1,0.948418547
207732XXXX,5,3,6,1,54,2,1.336749921
123100XXXX,3,5,7,2,26,2,1.041742569
153200XXXX,3,1,7,2,40,3,1.093980457
207689XXXX,2,4,7,2,73,3,0.808040376
207713XXXX,1,2,7,2,62,2,0.900005082
207577XXXX,5,4,7,1,42,3,1.352768032
207229XXXX,3,5,7,1,52,3,1.336749921
207551XXXX,4,1,7,1,68,2,0.948418547
207860XXXX,3,1,7,1,62,2,1.319873973
207266XXXX,5,3,7,1,65,1,0.948418547
207266XXXX,3,4,7,2,50,3,1.134656882
207266XXXX,2,1,7,1,93,1,0.582630106
207357XXXX,6,5,7,2,62,2,0.900005082
207212XXXX,2,1,7,1,56,2,1.319873973
207356XXXX,2,4,7,2,61,3,0.900005082
207944XXXX,2,1,7,2,45,3,1.134656882
207403XXXX,5,6,7,2,70,1,0.808040376
207852XXXX,3,4,7,2,61,1,0.900005082
207270XXXX,2,5,7,2,62,3,0.900005082
207341XXXX,1,3,7,2,55,1,0.900005082
207944XXXX,3,1,7,2,85,1,0.894520907
207852XXXX,2,3,7,1,50,2,1.336749921
207951XXXX,3,1,7,1,60,3,1.319873973
207280XXXX,1,2,7,1,75,2,0.582630106
207343XXXX,3,6,7,1,72,2,0.948418547
207431XXXX,3,2,7,2,63,3,0.900005082
207313XXXX,1,2,7,2,49,2,1.134656882
207841XXXX,5,6,7,2,54,3,1.134656882
207214XXXX,3,4,7,1,70,2,0.948418547
207763XXXX,1,2,7,2,26,3,1.041742569
207582XXXX,3,1,7,2,87,2,0.894520907
207685XXXX,3,2,7,2,62,3,0.900005082
207764XXXX,3,4,7,2,81,1,0.894520907
207897XXXX,3,5,7,2,72,2,0.808040376
207924XXXX,3,5,7,2,73,2,0.808040376
207392XXXX,3,6,7,2,57,2,0.900005082
207528XXXX,4,2,7,2,70,3,0.808040376
207695XXXX,6,3,7,2,71,2,0.808040376
207723XXXX,1,4,7,1,58,2,1.319873973
207469XXXX,2,3,7,1,73,3,0.948418547
207733XXXX,2,3,7,1,76,3,0.582630106
207234XXXX,2,4,7,1,80,3,0.582630106
207244XXXX,2,4,7,1,77,3,0.582630106
207652XXXX,3,1,7,1,62,1,1.319873973
207826XXXX,3,1,7,1,72,2,0.948418547
207866XXXX,3,1,7,1,82,2,0.582630106
207948XXXX,3,2,7,1,60,3,1.319873973
207843XXXX,3,5,7,1,55,2,1.319873973
207453XXXX,3,6,7,1,79,1,0.582630106
207276XXXX,4,3,7,1,55,3,1.319873973
207539XXXX,5,1,7,1,79,3,0.582630106
207848XXXX,5,3,7,1,59,2,1.319873973
207989XXXX,6,1,7,1,71,2,0.948418547
207728XXXX,6,5,7,1,47,3,1.336749921
