1,2,3,Gender,Age,Race,Education,Income,Health Insurance,weight
c1,c2,c4,2,1,1,2,1,3,0.701273947
c4,c7,c1,1,2,3,2,2,4,0.598861061
c4,c8,,2,2,3,2,1,3,0.628657191
c1,c5,c7,1,2,3,2,1,3,0.935535418
c2,c1,c4,2,1,1,3,3,1,1.543518701
c8,,,1,1,3,2,2,4,0.728151789
c8,,,2,2,3,2,3,1,0.618003647
c2,c1,c8,2,1,3,3,1,3,0.835267477
c6,c4,c8,2,1,3,1,1,4,2.329216536
c6,c2,c1,2,2,3,3,3,1,0.478780523
c1,c8,,2,2,3,2,1,3,0.628657191
c4,c3,c6,2,2,3,1,2,1,0.804551843
c6,c1,c3,2,2,3,2,1,3,0.440060034
c1,c4,c3,2,2,3,3,3,1,0.683972175
c2,c6,c8,2,2,3,2,1,4,0.618003647
c2,c4,c8,1,1,2,3,2,1,1.029169313
c8,,,2,2,3,3,2,1,0.683972175
c1,c2,c6,2,1,6,1,2,4,0.785752766
c2,c1,c8,1,2,3,1,2,1,1.227819114
c1,c6,c3,2,1,5,3,1,1,0.682792892
c6,c2,c3,2,2,3,3,2,3,0.446696333
c2,c6,c3,2,2,3,3,1,3,0.638137618
c3,c2,c8,2,2,3,2,2,3,0.628657191
c2,c1,c7,2,1,3,2,1,3,1.06461893
c1,c4,c8,2,2,3,1,1,3,0.804551843
c1,c4,c7,2,2,3,3,2,3,0.638137618
c1,c2,c7,1,2,3,3,1,3,0.714935058
c8,,,2,2,4,3,3,1,0.990089001
c8,,,2,2,3,3,3,3,0.683972175
c8,,,2,1,4,3,2,4,0.682792892
c2,c3,c8,2,2,3,3,2,3,0.638137618
c3,c7,c6,1,2,3,3,3,3,0.888419009
c8,,,2,2,3,3,2,3,0.683972175
c2,c8,,2,2,3,1,1,3,1.911532154
c8,,,1,1,4,2,1,5,1.156281529
c2,c1,c4,2,1,4,3,3,1,0.940440538
c8,,,1,1,3,1,2,4,0.882519324
c3,c4,c6,2,1,3,3,3,1,1.193239253
c6,c2,c4,2,1,3,3,3,2,0.930419006
c1,c8,,1,1,3,3,2,3,0.713093482
c2,c1,c8,1,1,5,3,3,1,0.851514737
c4,c1,c2,2,2,3,3,1,3,0.638137618
c3,c4,c8,2,2,5,1,1,1,3.568310223
c3,c1,c2,2,1,3,2,1,3,0.816694769
c6,c2,c1,2,2,1,2,3,1,0.867274849
c2,c1,c4,2,2,3,2,1,3,0.432602553
c4,c2,c3,2,1,3,1,2,1,1.931062582
c8,,,1,2,2,3,1,1,0.675774729
c6,c3,c2,1,2,1,3,2,2,0.432879123
c8,,,2,2,3,3,1,3,0.446696333
c1,c2,c7,2,2,1,2,2,1,0.51148225
c1,c2,c8,2,2,3,3,3,1,0.478780523
c4,c1,c6,2,2,1,2,2,3,0.867274849
c7,c8,,2,2,3,2,1,3,0.432602553
c8,,,2,2,3,2,2,2,0.628657191
c2,c1,c6,2,1,3,2,1,3,0.571686338
c1,c8,,2,2,3,3,2,1,0.683972175
c2,c7,c6,1,1,3,3,3,1,0.424360269
c1,c7,c2,2,2,3,2,1,1,0.432602553
