ballotID,1,2,Gender,Age,Education,weight
391000XXXX,c3,c2,2,2,3,1.134656882
731000XXXX,c2,c3,2,1,2,1.041742569
981000XXXX,c1,c3,2,2,1,1.134656882
101100XXXX,c1,c3,1,2,3,1.319873973
112100XXXX,c3,c2,2,2,3,1.134656882
115100XXXX,c3,c2,2,2,3,0.808040376
154100XXXX,c2,c3,2,2,3,0.808040376
168100XXXX,c4,,2,1,3,1.041742569
150200XXXX,c2,c1,2,2,2,0.900005082
207577XXXX,c3,c4,1,2,3,1.319873973
207465XXXX,c4,,1,2,3,0.582630106
207557XXXX,c4,,1,1,3,1.336749921
207299XXXX,c1,c2,2,1,2,1.093980457
207299XXXX,c1,c4,2,1,2,1.134656882
207447XXXX,c1,c4,2,2,3,0.808040376
207944XXXX,c4,,2,2,3,0.808040376
207299XXXX,c4,,1,1,3,1.336749921
207478XXXX,c4,,1,1,3,1.336749921
207322XXXX,c4,,1,2,2,0.582630106
207205XXXX,c1,c3,2,2,3,0.900005082
207469XXXX,c4,,1,2,3,1.336749921
207598XXXX,c4,,2,2,1,1.134656882
207263XXXX,c2,c4,1,2,3,0.948418547
207778XXXX,c3,c2,2,2,3,0.894520907
207225XXXX,c1,c3,2,2,2,0.808040376
207262XXXX,c1,c3,2,2,1,0.894520907
207364XXXX,c4,,2,2,3,0.808040376
207524XXXX,c3,c4,2,2,2,0.808040376
207525XXXX,c2,c1,2,2,2,0.900005082
207943XXXX,c3,c1,2,2,3,0.900005082
207455XXXX,c3,c4,2,2,1,0.894520907
207345XXXX,c4,,2,2,1,0.894520907
207348XXXX,c3,c1,2,2,3,0.900005082
207375XXXX,c4,,2,2,3,0.900005082
207453XXXX,c1,c4,2,2,1,0.900005082
207537XXXX,c4,,2,2,1,0.894520907
207585XXXX,c4,,2,2,3,0.894520907
207667XXXX,c2,c4,2,2,3,0.808040376
207786XXXX,c1,c4,2,2,3,0.900005082
207933XXXX,c3,c1,1,2,1,0.582630106
207223XXXX,c3,c1,1,2,3,1.319873973
207246XXXX,c4,,1,2,2,0.948418547
207255XXXX,c4,,1,2,3,0.948418547
207546XXXX,c2,c4,1,2,3,0.582630106
207795XXXX,c3,c1,1,2,1,0.582630106
231000XXXX,c1,c3,1,1,2,1.352768032
601000XXXX,c2,c1,1,1,1,1.336749921
971000XXXX,c2,c1,1,2,2,1.319873973
103100XXXX,c2,c3,2,1,2,1.041742569
138100XXXX,c2,c1,2,2,3,1.134656882
141100XXXX,c1,c2,1,1,1,0.552858347
412000XXXX,c2,c1,2,1,2,1.093980457
432000XXXX,c3,c2,1,2,2,1.319873973
962000XXXX,c1,c4,1,1,1,1.336749921
207754XXXX,c3,c2,1,2,2,1.319873973
207491XXXX,c3,c1,1,2,2,1.319873973
207478XXXX,c3,c1,1,2,2,0.948418547
207667XXXX,c3,c1,2,2,1,0.808040376
207483XXXX,c2,c3,2,2,1,0.894520907
207539XXXX,c3,c2,2,2,1,0.894520907
207562XXXX,c2,c4,1,2,3,1.319873973
207288XXXX,c3,c1,1,2,2,0.948418547
207532XXXX,c4,,1,2,3,0.582630106
207876XXXX,c2,c3,1,1,3,1.352768032
207318XXXX,c1,c3,2,1,3,1.134656882
207478XXXX,c4,,1,1,3,1.336749921
207327XXXX,c3,c1,2,2,2,0.808040376
207521XXXX,c3,c1,2,2,3,0.900005082
207668XXXX,c1,c3,2,2,3,0.894520907
207778XXXX,c2,c3,1,2,3,0.582630106
207474XXXX,c1,c3,1,2,1,0.948418547
207726XXXX,c2,c4,1,2,2,0.948418547
631000XXXX,c2,c4,2,2,3,0.900005082
161100XXXX,c3,c1,2,2,2,0.900005082
169100XXXX,c3,c2,2,1,2,1.041742569
154200XXXX,c1,c2,1,1,3,1.703992006
207852XXXX,c4,,1,1,2,0.552858347
207323XXXX,c1,c2,1,1,1,1.336749921
207483XXXX,c1,c3,1,1,2,1.352768032
150100XXXX,c1,c3,1,2,1,1.319873973
207768XXXX,c3,c1,1,2,3,0.582630106
207322XXXX,c3,c2,1,1,1,1.336749921
207357XXXX,c4,,2,2,2,0.900005082
207357XXXX,c1,c2,1,1,2,0.552858347
207745XXXX,c3,c4,2,2,3,0.808040376
207942XXXX,c1,c3,2,1,3,1.134656882
207786XXXX,c3,c2,2,2,3,0.808040376
207723XXXX,c3,c1,2,2,3,0.808040376
207728XXXX,c3,c1,1,2,3,1.319873973
207667XXXX,c1,c4,1,2,2,0.582630106
207435XXXX,c2,c1,1,2,3,0.582630106
207943XXXX,c3,c4,1,2,2,0.948418547
431000XXXX,c4,,2,1,1,0.625837025
207479XXXX,c2,c3,1,1,1,1.352768032
207884XXXX,c3,c2,2,2,2,0.808040376
207582XXXX,c2,c3,2,2,3,0.808040376
241000XXXX,c4,,2,1,2,1.093980457
207694XXXX,c3,c1,1,2,2,1.319873973
207227XXXX,c4,,1,2,3,0.582630106
