ballotID,1,2,Gender,Age,Education,weight
207357XXXX,c3,c4,2,2,3,0.808040376
207852XXXX,c2,c1,2,2,2,0.900005082
207561XXXX,c3,c4,2,1,2,1.041742569
207610XXXX,c4,,2,1,2,1.041742569
207234XXXX,c4,,2,2,3,0.808040376
207364XXXX,c3,c4,2,2,2,0.808040376
207546XXXX,c3,c4,2,2,1,0.900005082
207454XXXX,c4,,1,2,3,0.582630106
191000XXXX,c2,c4,2,2,1,0.900005082
541000XXXX,c2,c3,2,2,3,0.900005082
591000XXXX,c4,,1,2,2,0.948418547
701000XXXX,c2,c1,1,2,2,0.948418547
761000XXXX,c1,c3,2,2,2,0.900005082
921000XXXX,c3,c2,2,2,3,1.134656882
140100XXXX,c1,c3,2,2,2,1.134656882
145100XXXX,c4,,1,2,2,1.319873973
149100XXXX,c1,c2,2,2,2,0.900005082
157100XXXX,c1,c4,2,1,3,1.093980457
159100XXXX,c4,,1,1,1,0.552858347
172000XXXX,c3,c4,1,2,3,1.319873973
922000XXXX,c4,,2,1,1,1.041742569
151200XXXX,c3,c4,1,2,2,1.319873973
207754XXXX,c1,c4,2,2,3,1.134656882
207740XXXX,c2,c4,2,1,3,1.093980457
207632XXXX,c2,c3,2,1,3,1.093980457
207240XXXX,c3,c2,2,2,2,0.808040376
207344XXXX,c1,c2,1,2,1,1.319873973
207240XXXX,c3,c4,1,2,1,1.336749921
207252XXXX,c3,c1,1,2,2,1.336749921
207514XXXX,c3,c1,1,1,3,1.336749921
207740XXXX,c3,c1,1,2,2,0.948418547
207576XXXX,c4,,1,2,3,0.582630106
207576XXXX,c4,,1,2,2,0.948418547
207554XXXX,c2,c1,2,2,3,0.900005082
207694XXXX,c3,c1,2,2,2,0.808040376
207521XXXX,c3,c2,2,1,3,1.134656882
207460XXXX,c1,c3,1,2,3,0.948418547
207554XXXX,c3,c4,1,2,1,1.336749921
207316XXXX,c4,,1,1,2,1.352768032
207522XXXX,c3,c2,2,2,2,0.808040376
207446XXXX,c4,,2,2,3,0.808040376
207491XXXX,c2,c1,2,2,2,0.808040376
207931XXXX,c3,c4,2,2,3,0.900005082
207351XXXX,c4,,2,2,3,0.808040376
207491XXXX,c3,c2,1,1,2,1.352768032
207320XXXX,c4,,1,2,3,0.948418547
207778XXXX,c4,,1,2,1,0.948418547
207664XXXX,c1,c2,2,2,3,1.134656882
207266XXXX,c3,c1,2,2,1,0.808040376
207735XXXX,c4,,2,2,2,0.900005082
207664XXXX,c3,c2,1,2,3,0.948418547
207460XXXX,c3,c2,1,2,1,1.319873973
207266XXXX,c3,c4,1,1,1,1.352768032
207313XXXX,c2,c3,1,1,3,1.352768032
207402XXXX,c4,,1,2,3,1.319873973
207877XXXX,c2,c4,2,1,2,1.093980457
207754XXXX,c3,c2,2,1,3,1.093980457
207592XXXX,c3,c1,2,2,2,1.134656882
207242XXXX,c3,c4,2,2,1,0.808040376
207692XXXX,c4,,2,1,1,0.625837025
207660XXXX,c4,,1,2,3,0.582630106
207314XXXX,c4,,1,2,1,1.319873973
207314XXXX,c4,,1,1,3,1.336749921
207890XXXX,c3,c4,2,2,3,1.134656882
207890XXXX,c4,,2,2,2,0.808040376
207766XXXX,c4,,2,2,1,0.808040376
207890XXXX,c4,,2,2,1,0.900005082
207357XXXX,c4,,2,2,2,0.808040376
207890XXXX,c1,c4,1,2,3,1.319873973
207212XXXX,c2,c3,1,2,1,0.948418547
207595XXXX,c4,,1,1,1,1.352768032
207364XXXX,c4,,1,2,3,1.319873973
207478XXXX,c2,c4,2,1,2,1.093980457
207951XXXX,c1,c3,2,2,3,0.900005082
207702XXXX,c1,c4,2,1,3,1.041742569
207745XXXX,c1,c3,2,2,3,1.134656882
207949XXXX,c1,c3,2,1,3,1.041742569
207299XXXX,c4,,2,1,2,1.093980457
207659XXXX,c4,,2,2,2,0.808040376
207907XXXX,c4,,2,2,1,0.900005082
207356XXXX,c4,,2,2,2,0.894520907
207745XXXX,c4,,2,2,2,0.900005082
207944XXXX,c1,c4,1,2,2,0.948418547
207922XXXX,c1,c2,1,2,2,0.948418547
207479XXXX,c1,c2,1,2,2,1.319873973
207270XXXX,c1,c3,1,2,2,0.582630106
207944XXXX,c2,c3,1,2,3,0.948418547
207944XXXX,c3,c1,1,2,3,1.319873973
207447XXXX,c4,,1,2,3,0.948418547
207280XXXX,c3,c4,2,2,2,0.808040376
207343XXXX,c3,c4,1,1,2,1.336749921
207876XXXX,c4,,1,2,1,0.948418547
207399XXXX,c1,c3,2,2,2,1.134656882
207240XXXX,c2,c4,2,2,3,0.808040376
207399XXXX,c3,c1,2,2,1,0.894520907
207841XXXX,c3,c1,2,2,2,0.894520907
207416XXXX,c2,c3,1,1,3,1.352768032
207858XXXX,c3,c1,1,2,1,1.319873973
207322XXXX,c4,,2,1,1,1.093980457
207323XXXX,c4,,1,2,2,0.582630106
207598XXXX,c1,c3,2,2,2,0.900005082
207356XXXX,c3,c1,2,1,3,1.093980457
207214XXXX,c3,c4,2,2,1,0.808040376
207214XXXX,c4,,2,1,2,1.041742569
207632XXXX,c4,,1,2,1,1.319873973
207862XXXX,c1,c4,1,1,3,1.336749921
207876XXXX,c1,c4,2,2,2,0.894520907
207667XXXX,c4,,2,2,2,0.808040376
207565XXXX,c3,c1,2,2,2,0.808040376
207379XXXX,c1,c3,2,2,3,0.808040376
207783XXXX,c3,c4,2,2,1,0.894520907
207353XXXX,c3,c4,2,2,1,0.894520907
207753XXXX,c3,c2,2,2,1,0.808040376
207246XXXX,c2,c3,2,2,2,0.808040376
207268XXXX,c3,c4,2,2,2,0.808040376
207327XXXX,c2,c3,2,2,3,0.900005082
207488XXXX,c2,c3,2,2,1,0.894520907
207564XXXX,c3,c1,2,2,3,0.808040376
207696XXXX,c4,,2,2,1,0.808040376
207743XXXX,c3,c4,2,2,2,0.894520907
207782XXXX,c1,c4,2,2,2,0.894520907
207868XXXX,c2,c3,2,2,2,0.894520907
207935XXXX,c2,c4,2,2,2,0.894520907
207943XXXX,c3,c1,2,2,2,0.894520907
207548XXXX,c4,,2,2,3,0.894520907
207327XXXX,c4,,2,1,3,1.134656882
207778XXXX,c3,c4,2,2,2,0.894520907
207827XXXX,c3,c4,2,2,2,0.900005082
207223XXXX,c3,c4,2,1,2,1.093980457
207288XXXX,c2,c3,2,1,3,1.093980457
207338XXXX,c1,c2,2,2,3,0.894520907
207353XXXX,c3,c2,2,2,2,0.894520907
207426XXXX,c1,c2,2,2,3,0.900005082
207427XXXX,c4,,2,2,2,0.894520907
207469XXXX,c4,,2,2,3,0.808040376
207684XXXX,c4,,2,2,1,0.894520907
207695XXXX,c1,c4,2,2,3,0.808040376
207825XXXX,c3,c4,2,2,3,0.894520907
207827XXXX,c4,,2,2,1,0.808040376
207843XXXX,c4,,2,2,3,0.894520907
207864XXXX,c3,c1,2,2,3,0.900005082
207925XXXX,c4,,2,2,1,0.894520907
207942XXXX,c2,c4,2,2,1,0.808040376
207942XXXX,c4,,2,2,3,0.808040376
207942XXXX,c4,,2,2,1,0.894520907
207942XXXX,c3,c2,2,2,2,0.900005082
207848XXXX,c3,c2,1,2,3,0.948418547
207455XXXX,c2,c3,1,2,1,0.948418547
207834XXXX,c3,c2,1,2,3,0.582630106
207935XXXX,c2,c4,1,2,1,0.582630106
207667XXXX,c3,c4,1,2,1,0.582630106
207453XXXX,c1,c2,1,2,1,0.582630106
207628XXXX,c2,c1,1,2,3,0.582630106
207668XXXX,c4,,1,1,3,1.703992006
207942XXXX,c3,c4,1,2,2,0.948418547
207375XXXX,c2,c3,1,2,1,1.319873973
207244XXXX,c3,c4,1,1,2,0.552858347
207945XXXX,c1,c4,1,1,3,1.336749921
207224XXXX,c3,c4,1,2,2,1.336749921
207235XXXX,c2,c4,1,2,3,0.582630106
207338XXXX,c3,c2,1,1,3,0.552858347
207769XXXX,c1,c2,1,2,1,0.582630106
207784XXXX,c3,c2,1,2,3,0.582630106
207827XXXX,c3,c4,1,2,1,0.948418547
207897XXXX,c3,c4,1,2,3,0.948418547
207924XXXX,c3,c1,1,2,1,0.948418547
207989XXXX,c3,c4,1,2,2,0.582630106
207278XXXX,c2,c1,1,2,3,0.582630106
207947XXXX,c3,c1,1,2,3,0.948418547
207743XXXX,c3,c1,1,2,1,1.319873973
207585XXXX,c2,c3,1,2,2,0.582630106
207225XXXX,c3,c1,1,1,3,1.352768032
207255XXXX,c4,,1,2,3,0.582630106
207293XXXX,c2,c4,1,2,3,0.948418547
207326XXXX,c4,,1,2,3,0.582630106
207326XXXX,c3,c1,1,2,2,0.582630106
207336XXXX,c3,c4,1,2,1,0.582630106
207353XXXX,c3,c4,1,2,2,0.582630106
207407XXXX,c4,,1,2,3,0.948418547
207454XXXX,c4,,1,2,2,0.582630106
207454XXXX,c3,c2,1,2,1,1.319873973
207474XXXX,c3,c4,1,2,2,1.319873973
207532XXXX,c3,c4,1,2,3,0.582630106
207562XXXX,c4,,1,2,3,0.948418547
207585XXXX,c3,c2,1,2,3,0.948418547
207732XXXX,c3,c1,1,2,2,0.582630106
207778XXXX,c4,,1,2,3,0.582630106
207778XXXX,c4,,1,2,3,0.582630106
207778XXXX,c4,,1,2,3,0.948418547
207782XXXX,c3,c2,1,2,3,0.582630106
207783XXXX,c4,,1,1,3,1.703992006
207843XXXX,c3,c4,1,2,2,0.948418547
207884XXXX,c4,,1,2,2,0.582630106
207924XXXX,c1,c4,1,2,2,0.948418547
207942XXXX,c4,,1,2,3,0.582630106
207947XXXX,c3,c2,1,2,1,0.582630106
207993XXXX,c4,,1,2,1,0.582630106
207896XXXX,c1,c2,1,2,3,0.582630106
421000XXXX,c2,c1,2,2,2,0.900005082
104100XXXX,c4,,2,2,2,1.134656882
105100XXXX,c2,c1,2,1,3,1.093980457
110100XXXX,c3,c2,2,2,2,0.808040376
105200XXXX,c2,c4,2,1,3,0.625837025
207272XXXX,c1,c3,2,1,2,1.093980457
207215XXXX,c3,c2,1,2,2,1.319873973
207713XXXX,c3,c2,1,2,3,0.582630106
207576XXXX,c3,c1,1,2,2,1.319873973
207768XXXX,c4,,2,2,3,0.900005082
207762XXXX,c4,,2,2,3,0.894520907
207491XXXX,c3,c1,1,2,3,1.319873973
207491XXXX,c4,,1,2,1,0.582630106
207266XXXX,c1,c3,1,1,3,1.336749921
207578XXXX,c3,c1,2,1,3,1.093980457
207590XXXX,c4,,2,2,3,0.900005082
207272XXXX,c1,c3,2,2,3,0.900005082
207852XXXX,c1,c2,2,2,2,0.808040376
207659XXXX,c4,,2,1,2,1.093980457
207561XXXX,c1,c3,1,2,1,0.582630106
207794XXXX,c1,c2,1,2,3,1.336749921
207561XXXX,c1,c2,1,1,2,1.352768032
207944XXXX,c2,c1,1,1,2,1.352768032
207944XXXX,c3,c1,1,2,3,0.582630106
207779XXXX,c1,c2,1,2,2,0.582630106
207280XXXX,c3,c2,1,2,2,1.319873973
207431XXXX,c2,c1,2,2,2,1.134656882
207314XXXX,c3,c2,2,2,1,0.894520907
207431XXXX,c1,c2,1,1,3,1.352768032
207205XXXX,c2,c3,1,2,2,0.948418547
207527XXXX,c3,c1,2,2,3,0.894520907
207643XXXX,c1,c4,2,2,2,0.808040376
207825XXXX,c3,c1,2,2,3,0.894520907
207683XXXX,c3,c1,2,1,3,1.093980457
207764XXXX,c3,c4,2,2,3,0.808040376
207584XXXX,c1,c2,2,1,3,1.134656882
207997XXXX,c1,c3,2,2,3,0.808040376
207375XXXX,c3,c2,2,2,3,0.900005082
207938XXXX,c3,c1,2,2,2,0.894520907
207368XXXX,c3,c1,2,2,2,0.808040376
207628XXXX,c3,c4,2,2,2,0.808040376
207794XXXX,c4,,1,2,3,1.336749921
207672XXXX,c3,c4,1,2,3,0.948418547
207454XXXX,c3,c1,1,2,1,0.948418547
207268XXXX,c1,c2,1,2,2,0.948418547
207942XXXX,c3,c2,1,2,3,1.319873973
207434XXXX,c1,c3,1,2,1,0.582630106
207667XXXX,c4,,1,2,3,0.948418547
207739XXXX,c1,c3,1,2,3,0.582630106
207342XXXX,c3,c4,1,2,3,0.582630106
207469XXXX,c3,c1,1,2,3,0.948418547
207567XXXX,c3,c2,1,2,3,0.948418547
207760XXXX,c1,c3,1,2,2,0.582630106
207963XXXX,c3,c1,1,2,2,0.582630106
207667XXXX,c2,c1,1,2,2,0.582630106
207935XXXX,c3,c1,1,2,2,0.582630106
207672XXXX,c1,c4,1,2,3,0.948418547
207525XXXX,c2,c1,1,1,2,1.336749921
207924XXXX,c3,c1,1,2,1,0.582630106
207524XXXX,c3,c1,1,1,1,1.352768032
207353XXXX,c4,,1,1,3,1.352768032
207227XXXX,c2,c3,2,1,1,1.041742569
207227XXXX,c2,c1,1,1,3,1.352768032
207491XXXX,c3,c1,2,1,3,1.134656882
207460XXXX,c4,,2,2,3,0.808040376
207794XXXX,c1,c3,2,2,1,0.808040376
207290XXXX,c1,c3,2,2,3,0.808040376
207290XXXX,c2,c4,2,2,3,0.900005082
207251XXXX,c3,c1,1,2,2,1.319873973
207557XXXX,c3,c1,1,2,3,0.948418547
207478XXXX,c3,c4,1,2,3,0.948418547
207255XXXX,c4,,2,2,3,0.894520907
207493XXXX,c3,c1,2,2,2,0.894520907
207338XXXX,c1,c4,2,2,2,0.808040376
207454XXXX,c1,c3,2,2,1,0.808040376
207225XXXX,c3,c1,2,2,2,0.808040376
207375XXXX,c3,c1,2,2,3,0.900005082
207379XXXX,c3,c1,2,2,3,0.900005082
207429XXXX,c3,c2,2,2,2,0.808040376
207948XXXX,c2,c3,2,1,3,1.093980457
207783XXXX,c3,c2,2,2,1,0.894520907
207394XXXX,c3,c4,2,2,3,0.900005082
207947XXXX,c4,,2,2,3,0.808040376
207546XXXX,c3,c2,2,2,2,0.894520907
207643XXXX,c3,c1,2,2,1,0.894520907
207587XXXX,c1,c2,1,2,3,0.948418547
207532XXXX,c1,c2,1,1,1,1.336749921
207734XXXX,c2,c3,1,2,3,0.582630106
207225XXXX,c4,,1,2,3,0.948418547
207843XXXX,c3,c1,1,2,1,0.948418547
207723XXXX,c2,c1,1,2,3,0.582630106
207848XXXX,c1,c3,1,2,1,0.948418547
207724XXXX,c2,c3,1,2,2,0.582630106
207783XXXX,c2,c3,1,2,1,1.319873973
207947XXXX,c2,c1,1,2,3,0.948418547
381000XXXX,c3,c4,1,2,2,1.319873973
741000XXXX,c2,c3,2,1,1,1.134656882
851000XXXX,c3,c4,2,2,2,0.900005082
122200XXXX,c3,c1,1,1,3,1.352768032
207754XXXX,c1,c2,1,2,3,0.948418547
207513XXXX,c2,c3,1,1,1,1.352768032
207240XXXX,c3,c2,1,1,2,1.336749921
207615XXXX,c3,c2,1,1,2,1.703992006
207227XXXX,c1,c2,2,2,2,0.900005082
207227XXXX,c1,c2,1,1,2,1.703992006
207551XXXX,c4,,1,2,2,0.948418547
207491XXXX,c3,c4,2,2,2,0.894520907
207479XXXX,c1,c4,2,2,2,0.900005082
207441XXXX,c1,c3,2,1,2,1.093980457
207333XXXX,c2,c1,1,2,1,1.336749921
207344XXXX,c1,c2,1,1,1,1.336749921
207890XXXX,c4,,1,2,3,1.319873973
207532XXXX,c1,c3,2,1,2,1.134656882
207974XXXX,c2,c1,2,2,3,1.134656882
207991XXXX,c1,c2,1,2,1,1.319873973
207266XXXX,c1,c3,1,2,3,0.582630106
207290XXXX,c1,c4,1,1,2,1.352768032
207907XXXX,c3,c4,1,2,1,0.582630106
207667XXXX,c3,c1,2,2,1,0.894520907
207454XXXX,c1,c3,2,2,1,0.808040376
207234XXXX,c1,c3,2,1,3,1.041742569
207364XXXX,c2,c4,2,1,3,1.134656882
207564XXXX,c1,c3,2,2,3,0.900005082
207474XXXX,c2,c3,2,2,2,0.900005082
207938XXXX,c1,c4,2,2,1,0.894520907
207989XXXX,c3,c1,2,2,2,0.894520907
207989XXXX,c3,c1,2,2,3,0.900005082
207862XXXX,c3,c4,2,2,1,0.894520907
207998XXXX,c3,c2,2,2,3,0.894520907
207722XXXX,c1,c2,2,1,3,1.134656882
207794XXXX,c1,c2,2,2,3,0.808040376
207853XXXX,c4,,2,1,3,1.093980457
207938XXXX,c3,c4,2,2,2,0.900005082
207941XXXX,c3,c4,2,2,2,0.808040376
207585XXXX,c3,c2,2,2,3,0.808040376
207884XXXX,c2,c1,2,2,2,0.894520907
207862XXXX,c3,c1,2,2,2,0.894520907
207353XXXX,c3,c4,2,2,1,0.808040376
207757XXXX,c1,c3,2,2,3,0.900005082
207868XXXX,c3,c1,2,2,2,0.808040376
207938XXXX,c2,c4,1,2,1,1.336749921
207989XXXX,c2,c4,1,2,3,0.582630106
207454XXXX,c1,c3,1,2,3,1.319873973
207605XXXX,c3,c1,1,2,2,1.319873973
207634XXXX,c1,c4,1,2,1,1.319873973
207259XXXX,c1,c2,1,2,2,0.948418547
207566XXXX,c3,c1,1,2,3,0.948418547
207989XXXX,c1,c3,1,2,2,0.582630106
207942XXXX,c1,c3,1,2,1,0.582630106
207862XXXX,c3,c2,1,2,2,1.319873973
207884XXXX,c3,c2,1,1,3,1.352768032
207876XXXX,c2,c3,1,2,3,0.948418547
207285XXXX,c3,c1,1,2,2,1.319873973
207948XXXX,c3,c1,1,2,3,0.582630106
207488XXXX,c1,c4,1,2,3,1.336749921
251000XXXX,c4,,1,2,2,0.948418547
671000XXXX,c4,,2,1,3,1.093980457
151100XXXX,c2,c1,2,2,3,0.900005082
156100XXXX,c3,c1,2,2,2,0.900005082
562000XXXX,c3,c4,2,2,2,0.900005082
602000XXXX,c4,,2,2,2,0.808040376
207227XXXX,c2,c3,2,1,2,1.093980457
207551XXXX,c3,c4,1,2,1,0.948418547
207664XXXX,c2,c1,2,2,2,1.134656882
207479XXXX,c2,c3,2,2,3,0.808040376
207266XXXX,c4,,2,2,2,0.900005082
207812XXXX,c1,c3,1,2,3,0.948418547
207399XXXX,c3,c1,2,1,3,1.041742569
207485XXXX,c1,c3,1,2,1,0.582630106
207852XXXX,c3,c1,1,2,2,0.582630106
207949XXXX,c4,,1,2,3,0.948418547
207649XXXX,c1,c3,1,2,2,1.319873973
207446XXXX,c2,c4,1,1,3,1.703992006
207217XXXX,c1,c4,2,2,2,1.134656882
207557XXXX,c1,c2,1,2,3,0.582630106
207483XXXX,c3,c1,2,2,3,0.900005082
207827XXXX,c3,c4,2,2,3,0.894520907
207407XXXX,c3,c2,2,2,1,0.808040376
207444XXXX,c2,c4,2,2,2,0.894520907
207757XXXX,c3,c4,2,1,2,1.093980457
207862XXXX,c1,c3,2,2,1,1.134656882
207568XXXX,c1,c2,2,2,2,0.808040376
207782XXXX,c2,c4,2,2,2,0.808040376
207746XXXX,c3,c1,2,2,2,0.894520907
207564XXXX,c3,c1,2,2,3,0.808040376
207938XXXX,c4,,2,2,1,0.894520907
207993XXXX,c1,c3,1,2,3,0.948418547
207277XXXX,c1,c3,1,2,1,0.582630106
207368XXXX,c3,c4,1,2,1,0.948418547
207843XXXX,c1,c2,1,2,2,1.319873973
207943XXXX,c4,,1,2,3,1.319873973
207543XXXX,c2,c3,1,2,2,0.582630106
207764XXXX,c3,c4,1,2,1,0.948418547
207268XXXX,c3,c4,1,2,3,0.582630106
207353XXXX,c2,c3,1,1,3,1.352768032
207667XXXX,c1,c2,1,2,3,0.582630106
207684XXXX,c2,c4,1,2,3,0.948418547
207947XXXX,c3,c4,1,2,3,0.948418547
207866XXXX,c3,c4,1,2,3,0.582630106
207685XXXX,c3,c2,1,2,3,0.582630106
207583XXXX,c1,c3,1,2,3,0.582630106
207539XXXX,c3,c1,1,2,3,0.948418547
207763XXXX,c3,c1,1,2,1,0.582630106
207938XXXX,c1,c3,1,2,1,0.948418547
207469XXXX,c1,c3,1,1,2,0.552858347
207645XXXX,c3,c1,1,2,1,0.582630106
801000XXXX,c1,c3,2,1,2,1.134656882
162100XXXX,c4,,2,1,1,1.093980457
207532XXXX,c2,c1,1,2,2,0.948418547
207551XXXX,c1,c2,2,1,2,1.093980457
207754XXXX,c1,c3,1,2,3,1.319873973
207939XXXX,c1,c3,1,2,1,0.948418547
207944XXXX,c3,c1,1,2,1,1.319873973
207659XXXX,c2,c1,2,1,2,1.093980457
207249XXXX,c1,c4,1,2,2,1.336749921
207745XXXX,c1,c3,1,2,3,0.948418547
207949XXXX,c1,c2,1,2,2,1.319873973
207745XXXX,c3,c1,1,2,1,0.948418547
207671XXXX,c3,c4,1,2,2,0.948418547
207858XXXX,c3,c1,2,2,2,0.900005082
207491XXXX,c1,c3,1,2,3,1.319873973
207649XXXX,c3,c1,1,1,1,1.336749921
207632XXXX,c3,c4,1,1,2,1.336749921
207778XXXX,c3,c2,2,2,1,0.808040376
207796XXXX,c3,c1,2,2,1,0.808040376
207862XXXX,c2,c4,2,2,3,0.894520907
207288XXXX,c2,c1,2,2,2,0.808040376
207375XXXX,c3,c4,2,2,2,0.894520907
207732XXXX,c4,,2,2,2,0.900005082
207732XXXX,c2,c3,2,2,3,0.900005082
207564XXXX,c1,c4,2,2,2,0.808040376
207223XXXX,c2,c1,1,2,3,0.948418547
207584XXXX,c3,c1,1,2,2,1.319873973
207645XXXX,c3,c2,1,2,2,0.948418547
207426XXXX,c4,,1,2,3,0.582630106
207938XXXX,c1,c3,1,2,3,0.582630106
207465XXXX,c1,c4,1,2,3,0.948418547
207225XXXX,c3,c1,1,2,1,0.948418547
207925XXXX,c3,c1,1,2,2,0.948418547
207998XXXX,c2,c3,1,2,3,0.948418547
207566XXXX,c3,c1,1,2,2,0.948418547
207695XXXX,c1,c4,1,2,1,1.336749921
207223XXXX,c1,c2,1,1,2,1.336749921
207422XXXX,c1,c3,1,1,3,0.552858347
211000XXXX,c2,c4,1,1,2,0.552858347
451000XXXX,c2,c1,1,1,3,1.336749921
171100XXXX,c1,c3,1,2,1,1.319873973
155200XXXX,c2,c4,1,2,1,0.948418547
207754XXXX,c1,c3,1,2,1,1.336749921
207212XXXX,c3,c4,1,2,2,0.948418547
207460XXXX,c3,c1,2,2,3,0.894520907
207460XXXX,c2,c1,1,2,3,1.319873973
207610XXXX,c3,c1,1,1,3,1.703992006
207460XXXX,c3,c4,1,2,3,0.948418547
207447XXXX,c1,c3,1,2,2,1.319873973
207280XXXX,c2,c3,1,2,3,1.319873973
207717XXXX,c1,c3,2,2,1,0.808040376
207649XXXX,c3,c1,2,2,3,1.134656882
207632XXXX,c3,c2,2,2,3,0.894520907
207965XXXX,c1,c3,1,2,3,1.336749921
207497XXXX,c1,c3,2,2,3,0.894520907
207778XXXX,c1,c4,2,2,1,0.808040376
207848XXXX,c1,c2,2,2,2,0.900005082
207285XXXX,c2,c1,2,2,3,0.894520907
207584XXXX,c3,c1,2,2,1,0.900005082
207277XXXX,c3,c1,2,2,1,0.894520907
207989XXXX,c2,c4,2,2,1,0.900005082
207628XXXX,c3,c1,1,2,2,0.582630106
207348XXXX,c3,c1,1,2,2,1.319873973
207454XXXX,c1,c4,1,2,2,0.948418547
