id,name,image_url
candidate_DianneMorales,Dianne Morales,https://fairvotereform.github.io/rcv_viz/images/DianneMorales.png
candidate_ScottStringer,Scott Stringer,https://fairvotereform.github.io/rcv_viz/images/ScottStringer.png
candidate_MayaWiley,Maya Wiley,https://fairvotereform.github.io/rcv_viz/images/MayaWiley.png
candidate_KathrynGarcia,Kathryn Garcia,https://fairvotereform.github.io/rcv_viz/images/KathrynGarcia.png
candidate_EricAdams,Eric Adams,https://fairvotereform.github.io/rcv_viz/images/EricAdams.png
candidate_ShaunDonovan,Shaun Donovan,https://fairvotereform.github.io/rcv_viz/images/ShaunDonavan.png
candidate_AndrewYang,Andrew Yang,https://fairvotereform.github.io/rcv_viz/images/AndrewYang2.png
