id,name,image_url
carr,David Carr,https://fairvotereform.github.io/rcv_viz/images/DavidCarr.jpg
kepi,Marko Kepi,https://fairvotereform.github.io/rcv_viz/images/MarkoKepi.jpg
pirozzolo,Sam Pirozzolo,https://fairvotereform.github.io/rcv_viz/images/SamPirozzolo.jpg
sforza,Kathleen Sforza,https://fairvotereform.github.io/rcv_viz/images/KathleenSforza.jpg
hafizi,Jordan Hafizi,https://fairvotereform.github.io/rcv_viz/images/JordanHafizi.jpg
cc_other,Other,https://fairvotereform.github.io/rcv_viz/images/Other.jpg
