id,name,image_url
c1,Pete Buttigieg,https://fairvotereform.github.io/rcv_viz/images/PeteButtigieg.jpg
c2,Kamala Harris,https://fairvotereform.github.io/rcv_viz/images/KamalaHarris.jpg
c3,Amy Klobuchar,https://fairvotereform.github.io/rcv_viz/images/AmyKlobuchar.jpg
c4,Alexandria Ocasio-Cortez,https://fairvotereform.github.io/rcv_viz/images/AlexandriaOcasio-Cortez.jpg
c5,Jamie Raskin,https://fairvotereform.github.io/rcv_viz/images/JamieRaskin.jpg
c6,Bernie Sanders,https://fairvotereform.github.io/rcv_viz/images/BernieSanders.jpg
