1,2,3,weight
c1,c6,c3,0.270654936
,,,1.340051181
c2,c3,,3.154741297
c5,c3,c1,1.288065883
c5,c1,c3,0.710130756
c5,c1,c3,0.636835142
,,,0.710130756
c3,,,0.710130756
,,,0.521122263
,,,0.852058937
,,,1.130258812
,,,0.710130756
c5,c1,,0.546794913
c5,c1,,0.710130756
c3,c1,c2,0.636835142
c1,,,0.852058937
c6,c4,c3,0.49864406
c3,c1,,0.270654936
c3,c5,,0.636835142
,,,0.636835142
,,,0.852058937
c5,c3,c1,1.286576265
c1,c2,c4,0.710130756
,,,0.852058937
,,,0.710130756
,,,0.710130756
,,,0.710130756
c6,c2,c5,1.288065883
c1,,,3.154741297
c2,c4,c6,0.270654936
c2,c3,c5,0.852058937
c5,c3,c2,3.751850387
c3,c1,c5,0.710130756
c3,c2,c1,0.636835142
,,,0.636835142
,,,3.751850387
,,,0.852058937
,,,0.636835142
,,,0.710130756
,,,1.26202181
c3,c1,c2,0.636835142
c1,c2,c3,0.636835142
c2,,,3.154741297
,,,3.154741297
c2,,,0.636835142
,,,0.710130756
c6,,,0.49864406
c6,c2,,1.286576265
c1,c2,c3,0.710130756
c2,c4,c1,0.301805571
,,,0.636835142
c5,c1,c2,0.710130756
c6,c3,,3.751850387
,,,3.751850387
c6,c3,,0.852058937
c5,c1,c3,0.852058937
c5,c2,c1,0.636835142
c6,c4,c1,1.286525405
,,,0.852058937
,,,0.852058937
c6,,,0.852058937
,,,0.636835142
c6,,,1.535817349
c2,c3,c1,0.636835142
c3,c2,c5,0.636835142
c2,c6,c3,0.710130756
,,,1.535817349
c3,c5,c6,0.710130756
c5,c3,c1,1.535817349
,,,2.532499011
,,,0.868404648
,,,0.47933826
,,,0.710130756
,,,0.301805571
,,,1.288065883
c1,c3,c6,1.535817349
,,,4.488588662
c3,c1,,1.535817349
,,,0.270654936
,,,3.154741297
,,,3.154741297
,,,0.852058937
c3,c1,c2,1.286576265
c1,c6,c4,0.710130756
,,,1.340051181
c2,c1,c5,0.636835142
,,,1.288065883
,,,0.710130756
,,,1.286576265
c2,c3,c5,1.286576265
c3,c1,c5,0.636835142
c4,c6,,0.608283638
,,,1.286525405
c5,c1,c2,0.636835142
,,,0.868438979
c1,c3,c6,0.852058937
,,,0.710130756
,,,0.710130756
,,,0.710130756
,,,3.751850387
c3,c1,c6,1.286576265
,,,3.154741297
c3,c1,c6,0.852058937
,,,0.852058937
,,,1.286576265
,,,1.286576265
c6,c2,,0.270654936
c3,c2,c1,0.710130756
c1,c5,,0.636835142
c3,c2,c1,0.636835142
,,,0.710130756
,,,1.286525405
,,,1.286576265
c5,c2,c4,0.710130756
c3,c1,c6,0.636835142
,,,1.286525405
c4,c2,c5,0.710130756
,,,1.340765051
,,,0.710130756
,,,0.636835142
,,,2.213253235
,,,3.154741297
c3,c2,c1,1.288065883
c2,c6,c3,0.852058937
c1,c5,,0.636835142
,,,1.014104541
,,,1.014104541
c3,c1,c5,0.636835142
c3,c1,c6,0.636835142
,,,0.270654936
c3,c1,c2,0.636835142
c1,c5,c3,0.636835142
,,,0.301805571
c1,,,0.636835142
c2,,,0.710130756
c1,c2,c3,0.710130756
,,,3.154741297
c3,c1,,0.710130756
c1,c3,,3.751850387
c2,,,1.288065883
,,,0.546794913
,,,0.710130756
c5,c3,c1,0.636835142
,,,0.636835142
c2,c4,c1,0.710130756
,,,1.286525405
c2,c1,c3,0.710130756
,,,0.546794913
c1,c2,,0.270654936
,,,0.270654936
c5,c1,,0.270654936
c6,c2,c1,0.710130756
c1,c3,c2,0.636835142
c3,c1,c4,0.636835142
c3,c1,c6,0.636835142
,,,0.710130756
,,,1.286576265
,,,1.286576265
c3,,,0.636835142
,,,0.710130756
,,,0.852058937
c1,c3,,0.710130756
c2,c3,c1,0.710130756
,,,0.710130756
,,,1.286576265
c1,c3,c2,0.636835142
,,,0.362125048
c6,,,0.852058937
,,,0.636835142
,,,0.362125048
,,,1.286576265
,,,1.286576265
,,,1.288065883
,,,3.751850387
,,,0.636835142
c6,c1,c4,3.751850387
,,,1.288065883
,,,3.154741297
c1,,,1.286576265
c3,c5,c1,0.636835142
,,,0.710130756
c6,,,0.710130756
c1,c2,,0.852058937
,,,0.636835142
,,,1.535817349
,,,0.710130756
,,,0.710130756
c2,c3,c6,1.286576265
,,,1.288065883
,,,1.286525405
c2,c1,c5,0.710130756
,,,1.286576265
,,,0.710130756
c5,c3,c1,1.286576265
c3,,,0.270654936
,,,0.270654936
c3,c1,c2,0.852058937
c3,c1,c6,2.129594057
c2,c3,c1,0.636835142
c3,c1,c6,0.636835142
c2,c1,c6,3.751850387
,,,1.286525405
c5,c3,c1,1.286576265
,,,1.286576265
,,,0.480359995
,,,1.288065883
,,,3.154741297
,,,0.852058937
,,,1.286576265
c5,c3,c1,0.636835142
c2,,,0.301805571
c3,c5,c1,1.286576265
c1,c2,c3,0.868438979
,,,0.47933826
,,,2.532499011
c2,c1,c6,0.575139782
c5,c1,c3,0.575139782
,,,0.827664771
c2,c3,,2.532499011
,,,0.429863721
c1,c2,c5,1.493945934
,,,0.47933826
c3,,,0.47933826
c5,c3,,0.429863721
,,,0.762924698
,,,1.493945934
,,,0.47933826
,,,0.851864722
,,,2.532499011
c1,,,0.868438979
,,,2.532499011
,,,0.47933826
,,,0.429863721
c1,c5,c3,0.429863721
,,,0.575139782
c5,c3,c1,0.868438979
,,,0.904534547
,,,2.129450376
c1,c3,c2,0.429863721
,,,0.429863721
,,,0.47933826
,,,2.532499011
,,,2.129450376
c2,c3,,0.47933826
,,,1.594536414
,,,0.546794913
c5,c4,c6,0.868438979
c6,c1,c2,0.429863721
c1,c3,c5,0.47933826
c6,,,3.029797347
,,,1.247025243
c5,c1,c3,0.429863721
,,,0.868438979
c5,c1,c2,0.429863721
,,,0.868438979
,,,0.868438979
,,,0.575139782
,,,0.868438979
,,,0.869444471
,,,0.575139782
c1,c3,,2.532499011
,,,0.868438979
,,,0.429863721
,,,0.868438979
c3,c2,,0.429863721
,,,3.029797347
c1,c3,c2,0.429863721
c1,c3,c5,0.47933826
c2,c6,c1,0.851864722
,,,0.429863721
,,,1.340765051
c2,c5,c1,0.429863721
c6,c2,c5,0.429863721
,,,0.47933826
c6,c2,,0.429863721
c3,c1,c6,0.429863721
c3,,,0.868438979
,,,2.129450376
,,,0.575139782
,,,0.575139782
c6,c4,c5,0.546794913
,,,1.036676711
,,,1.036676711
c1,c3,c5,0.429863721
c3,c1,c6,0.47933826
c5,c2,c1,2.129450376
,,,0.868438979
,,,0.429863721
,,,0.47933826
,,,0.575139782
,,,0.869444471
,,,2.532499011
,,,3.029797347
,,,0.429863721
,,,2.129450376
c4,c2,c1,1.036676711
,,,1.594536414
c2,,,2.532499011
,,,2.532499011
,,,1.340765051
,,,0.47933826
,,,0.49864406
,,,0.47933826
,,,2.532499011
c1,c3,c5,0.270654936
,,,1.907650181
c2,c6,c1,0.429863721
,,,0.429863721
,,,0.868438979
,,,0.429863721
,,,0.791964095
,,,0.47933826
c4,c3,c2,0.429863721
,,,0.429863721
,,,0.762924698
c1,c2,c6,0.429863721
c1,c6,c3,2.129450376
,,,2.532499011
,,,0.868438979
,,,0.47933826
,,,0.869444471
,,,0.967604103
,,,2.129450376
c3,c5,c6,0.868438979
c3,c1,,0.429863721
c6,,,0.868438979
,,,0.270654936
c3,c1,c6,0.429863721
c3,,,0.47933826
c5,c3,,0.270654936
,,,0.851864722
c1,c3,c2,0.47933826
c5,c3,c1,0.47933826
c2,c6,c4,0.762924698
,,,0.47933826
,,,0.868438979
c6,c2,c1,2.129450376
c5,c3,c6,2.532499011
c2,c3,c4,0.47933826
,,,2.532499011
c5,c6,c3,0.429863721
c5,c3,c1,0.575139782
c5,c3,,0.429863721
,,,2.129450376
c1,c5,c2,0.868438979
c5,c1,c6,0.47933826
c1,c6,,0.868404648
,,,0.868438979
c1,c3,c5,0.868438979
,,,0.301805571
,,,0.47933826
c1,c3,c5,0.429863721
,,,1.036676711
,,,2.532499011
,,,2.129450376
c1,c2,c3,3.029797347
,,,2.532499011
,,,0.869444471
c1,c3,c5,0.429863721
c4,c2,c3,0.47933826
c3,c1,c2,0.868438979
c3,,,0.429863721
,,,0.47933826
,,,0.575139782
,,,0.47933826
,,,1.036676711
,,,0.868438979
,,,1.036676711
,,,0.868438979
,,,0.575139782
c1,c3,c2,0.301805571
,,,0.868404648
,,,0.868438979
,,,0.47933826
c1,c2,c5,0.791964095
,,,0.868438979
,,,2.129450376
c3,c1,c2,2.532499011
c2,,,2.532499011
,,,0.868438979
c5,c1,c6,0.47933826
,,,0.47933826
c1,c2,,0.47933826
,,,2.532499011
c4,c2,c3,0.575139782
,,,0.47933826
,,,0.575139782
c2,c5,c1,0.762924698
,,,0.575139782
c2,,,0.429863721
c1,c6,c5,0.429863721
c6,c1,c3,0.429863721
c2,c6,c1,0.868438979
,,,0.575139782
c3,c2,c5,0.47933826
c1,,,0.47933826
,,,2.129450376
,,,1.691051811
,,,0.869444471
c3,c2,c1,2.532499011
,,,1.493945934
,,,2.129450376
,,,2.532499011
c2,c6,c4,0.575139782
,,,0.546794913
c1,c5,c6,0.429863721
,,,0.429863721
,,,0.869444471
c1,c2,,0.47933826
,,,0.546794913
c5,c3,c1,2.532499011
c1,c3,c5,0.362125048
,,,0.429863721
c6,c2,c3,0.429863721
c1,c3,c5,0.868438979
c1,c6,c3,0.47933826
,,,0.868438979
,,,0.868438979
c3,c5,c1,0.429863721
,,,2.129450376
,,,0.868438979
,,,2.129450376
c1,c6,c2,0.47933826
c2,c3,c5,0.47933826
,,,0.868438979
c2,c1,c6,0.47933826
c5,c2,c3,0.47933826
c6,c5,c1,0.429863721
,,,0.868438979
,,,0.49864406
c6,c1,c5,0.49864406
,,,0.43099443
,,,1.014104541
,,,0.43099443
c2,c1,c4,1.535817349
,,,2.827057832
c1,c4,c2,0.59241534
,,,2.505261942
,,,1.130258812
,,,1.288065883
,,,2.505261942
c6,c3,c5,0.49864406
,,,4.488588662
c2,c6,c4,2.213253235
,,,1.201499578
,,,0.547428
,,,1.064736325
,,,0.59241534
c6,c1,c2,0.608283638
,,,0.521122263
c4,c3,,1.393918446
,,,0.569521752
c4,c2,c3,0.480359995
,,,1.036676711
c6,,,0.546773297
c4,c6,c2,1.26202181
,,,0.608283638
,,,0.49864406
,,,0.49864406
,,,1.014104541
c2,c4,c3,1.43348756
,,,4.488588662
c6,c2,,2.827057832
c4,c1,c2,0.521122263
c6,c4,c5,0.569521752
,,,0.480359995
c2,c6,c3,4.488588662
c5,c2,c6,0.652722373
c6,c2,c4,0.49864406
,,,0.547428
,,,0.608283638
c5,c1,c3,0.652722373
,,,0.49864406
c5,c1,c2,2.129594057
c4,c3,c1,1.43348756
,,,0.710130756
c2,c6,,0.652722373
,,,1.201499578
,,,0.59241534
,,,0.59241534
c1,c3,c6,2.213253235
c4,c6,,1.847444805
,,,1.26202181
,,,1.226170031
c1,c3,c6,0.609232213
c3,c1,c5,0.569521752
,,,1.130258812
,,,0.480359995
,,,1.201499578
c6,c2,c1,1.201499578
,,,0.608283638
,,,0.59241534
,,,1.130258812
,,,1.130258812
,,,2.129594057
,,,0.59241534
,,,0.940632625
,,,1.493945934
c2,c3,c1,0.609232213
,,,1.130258812
c6,,,0.521122263
,,,0.43099443
c2,,,1.014104541
,,,1.014104541
,,,1.014104541
,,,0.49864406
c6,c2,,0.940632625
c2,,,1.43348756
,,,2.213253235
,,,2.129594057
,,,1.288065883
,,,0.609232213
,,,0.59241534
,,,1.535817349
,,,0.940632625
,,,0.43099443
,,,1.286525405
,,,1.340051181
c2,c1,c6,2.213253235
c2,,,1.43348756
,,,1.286525405
,,,0.536359269
,,,0.480359995
c6,c4,c2,0.608283638
,,,0.608283638
,,,4.488588662
,,,1.43348756
c2,c4,c6,0.536359269
,,,2.129594057
,,,0.785164042
,,,0.546773297
,,,0.521122263
,,,4.488588662
c6,c2,c1,1.226170031
,,,0.49864406
,,,0.521122263
,,,1.847444805
,,,1.286525405
,,,0.521122263
c3,c1,c2,1.26202181
c2,c4,c3,1.43348756
,,,1.26202181
,,,0.49864406
,,,1.393918446
,,,0.59241534
c2,c1,c3,0.547428
,,,1.535817349
,,,0.49864406
c5,c3,c1,1.288065883
c4,c6,c2,0.521122263
c4,c6,c1,1.286525405
,,,0.49864406
,,,0.609232213
,,,0.59241534
,,,2.213253235
c1,c3,c6,1.43348756
,,,0.608283638
,,,0.608283638
c6,c2,c3,1.340051181
c6,c4,c2,0.521122263
,,,1.130258812
,,,0.521122263
c6,,,0.905077474
,,,1.393918446
,,,0.43099443
,,,1.340051181
,,,0.684520565
,,,1.226170031
c6,,,0.480359995
,,,0.608283638
,,,1.130258812
,,,0.536359269
,,,0.608283638
c4,c3,c6,0.785164042
,,,1.393918446
,,,1.43348756
c6,c2,c4,0.905077474
c4,c1,c6,2.129594057
c1,c6,c3,0.791964095
c2,c4,c1,0.785164042
,,,1.907650181
c2,c6,,0.43099443
,,,0.536359269
c2,c6,c3,1.43348756
c1,c6,c3,1.535817349
,,,0.59241534
,,,1.130258812
,,,0.536359269
c1,c6,c3,1.130258812
,,,1.26202181
,,,0.608283638
,,,1.43348756
,,,0.49864406
,,,0.521122263
,,,1.847444805
,,,0.480359995
,,,0.569521752
c2,c4,c6,1.43348756
c1,c6,c2,0.609232213
c1,c3,c2,1.535817349
c6,c1,c5,1.340051181
,,,0.521122263
c6,c1,c2,1.847444805
,,,1.431255618
,,,0.608283638
c4,c3,c2,0.49864406
,,,1.064736325
,,,1.286525405
,,,0.480359995
,,,2.505261942
,,,1.26202181
,,,0.536359269
c6,c4,c2,1.173280141
,,,0.762924698
,,,0.785164042
,,,0.785164042
,,,0.43099443
,,,0.608283638
,,,0.49864406
,,,2.213253235
,,,0.608283638
c2,,,1.064736325
,,,1.130258812
,,,1.201499578
,,,0.636835142
,,,0.521122263
,,,1.43348756
,,,1.288065883
c4,c2,c5,2.129594057
c2,,,0.905077474
c5,c2,c6,1.130258812
