id,name,image_url
Donald Trump,Donald Trump,https://fairvotereform.github.io/rcv_viz/images/donald_trump.jpg
Ron DeSantis,Ron DeSantis,https://fairvotereform.github.io/rcv_viz/images/RonDesantis.jpg
Mike Pence,Mike Pence,https://fairvotereform.github.io/rcv_viz/images/MikePence.png
Ted Cruz,Ted Cruz,https://fairvotereform.github.io/rcv_viz/images/TedCruz.png
Nikki Haley,Nikki Haley,https://fairvotereform.github.io/rcv_viz/images/NikkiHaley.png
Glenn Youngkin,Glenn Youngkin,https://fairvotereform.github.io/rcv_viz/images/GlennYoungkin.jpg
