ballotID,1,2,3,4,Gender,Age,Urbanicity,weight
207354XXXX,c1,c6,,,2,2,3,0.388206469
207688XXXX,c1,c6,,,2,2,3,0.388206469
207839XXXX,c1,c6,,,2,2,2,0.388206469
207883XXXX,c1,c6,,,2,2,2,0.388206469
207885XXXX,c1,c6,,,2,2,2,0.524591059
207865XXXX,c1,c6,,,2,2,2,0.388206469
207872XXXX,c1,c6,,,2,2,2,0.562623911
207377XXXX,c1,c6,,,1,2,1,0.479610184
207773XXXX,c1,c6,,,1,2,1,0.479610184
207805XXXX,c1,c6,,,1,2,2,0.410398699
207867XXXX,c1,c6,,,1,2,3,0.479610184
207985XXXX,c1,c6,,,1,2,3,0.479610184
207763XXXX,c1,c6,,,1,2,3,1.211686063
207377XXXX,c1,c6,,,1,2,2,0.479610184
207563XXXX,c1,c6,,,1,2,3,0.479610184
207563XXXX,c1,c6,,,2,2,3,0.388206469
207625XXXX,c1,c6,,,2,2,3,0.488437918
207677XXXX,c1,c6,,,2,2,1,0.388206469
207360XXXX,c5,c6,,,2,2,1,0.490177886
207724XXXX,c1,c6,,,2,2,2,0.388206469
207934XXXX,c1,c2,c4,c6,2,2,1,1.365038349
207324XXXX,c1,c6,,,2,2,2,0.362740125
207377XXXX,c5,c6,,,2,2,3,0.524591059
207729XXXX,c1,c6,,,1,2,2,0.479610184
207499XXXX,c5,c6,,,2,2,3,0.490177886
207985XXXX,c1,c6,,,1,2,2,0.479610184
207382XXXX,c1,c6,,,2,2,1,0.819023009
207623XXXX,c1,c6,,,1,2,2,0.479610184
207985XXXX,c1,c6,,,1,2,1,0.479610184
207724XXXX,c1,c6,,,2,1,3,1.267896414
207646XXXX,c5,c6,,,2,2,3,0.490177886
207865XXXX,c5,c6,,,2,2,1,0.490177886
207623XXXX,c1,c6,,,2,2,4,0.524591059
207686XXXX,c1,c6,,,2,2,3,0.819023009
207883XXXX,c1,c6,,,2,2,3,1.365038349
207688XXXX,c1,c6,,,2,2,3,0.562623911
207251XXXX,c1,c6,,,2,2,2,0.416351438
207657XXXX,c5,c6,,,2,2,2,0.524591059
207637XXXX,c1,c6,,,2,2,3,0.524591059
207324XXXX,c1,c6,,,2,2,3,1.464003629
207892XXXX,c5,c6,,,2,2,3,0.232923882
207354XXXX,c5,c6,,,2,2,3,0.416351438
207727XXXX,c5,c6,,,2,2,3,0.83427406
207354XXXX,c5,c6,,,2,2,2,0.490177886
207846XXXX,c1,c6,,,1,1,3,1.444664692
207761XXXX,c1,c6,,,1,2,1,1.402832202
207799XXXX,c1,c6,,,1,2,2,0.514381922
