ballotID,rank1,rank2,rank3,rank4,Gender,Age,Urbanicity,weight
207845XXXX,1,2,3,4,2,2,3,0.388206469
207442XXXX,1,3,4,2,1,2,3,0.975928414
207832XXXX,1,2,4,3,2,2,3,0.388206469
207892XXXX,1,3,2,4,1,2,2,0.479610184
207725XXXX,1,2,3,4,2,1,3,1.267896414
207253XXXX,1,3,4,5,1,2,1,0.24623922
207850XXXX,1,4,3,2,2,1,3,1.336861503
207549XXXX,1,2,3,4,1,2,3,1.299533302
207439XXXX,3,1,2,6,1,2,2,0.28776611
207549XXXX,3,4,1,6,1,2,3,0.28776611
207594XXXX,1,3,2,4,1,1,1,0.789114218
207847XXXX,1,4,6,,1,2,2,0.448147756
207498XXXX,5,4,3,2,1,2,2,1.31080641
207364XXXX,5,1,4,2,2,2,3,1.464003629
207839XXXX,1,3,2,4,2,2,3,1.365038349
207583XXXX,1,2,3,4,1,2,3,0.479610184
207439XXXX,5,4,2,6,2,2,4,1.464003629
207847XXXX,5,3,4,2,2,2,3,0.490177886
207729XXXX,5,3,4,2,1,2,2,1.132199457
207892XXXX,1,3,2,4,1,2,2,0.440152605
207442XXXX,1,2,3,4,1,2,3,4.961144077
207885XXXX,3,2,1,4,1,2,3,1.299533302
207729XXXX,1,2,3,4,1,2,2,0.383476545
207457XXXX,5,2,3,4,1,2,3,0.841699321
207725XXXX,5,4,3,2,1,2,3,0.448147756
207582XXXX,5,2,3,4,1,2,2,0.440152605
207985XXXX,5,2,3,4,1,2,3,1.132199457
207453XXXX,1,2,3,4,1,2,1,2.775465218
207892XXXX,5,3,2,1,1,1,,0.73717191
207236XXXX,1,3,6,,1,2,1,0.514381922
207282XXXX,5,2,4,6,2,2,3,0.562623911
207865XXXX,1,3,4,2,1,2,2,0.479610184
207677XXXX,2,3,4,5,2,2,,0.957575909
207453XXXX,5,4,3,2,2,2,2,0.562623911
207284XXXX,1,3,4,2,2,2,2,1.365038349
207251XXXX,1,2,4,3,1,2,2,1.132199457
207832XXXX,1,4,2,6,1,1,3,0.975544247
207351XXXX,1,3,4,2,1,1,3,1.046271204
207797XXXX,1,2,4,5,1,2,2,1.299533302
207396XXXX,5,3,2,6,1,2,,0.383476545
207799XXXX,1,3,4,2,2,2,2,0.388206469
207529XXXX,1,4,3,2,2,2,3,0.416351438
207439XXXX,5,2,3,4,2,2,2,0.362740125
207729XXXX,5,4,3,2,2,2,2,0.873082779
207633XXXX,1,3,6,,2,2,3,0.89284467
207439XXXX,1,2,3,4,2,2,3,0.814063197
207832XXXX,1,3,2,4,1,2,3,0.410398699
207799XXXX,1,3,6,,1,2,2,0.479610184
207283XXXX,1,3,4,2,1,2,1,0.514381922
207872XXXX,1,2,3,4,1,2,1,0.841699321
207324XXXX,1,3,6,,1,2,2,0.727011638
207594XXXX,1,2,3,4,1,2,3,0.479610184
207324XXXX,1,3,2,6,1,2,1,0.28776611
207937XXXX,1,2,3,5,2,2,4,0.819023009
207247XXXX,1,2,3,5,1,2,2,1.120166121
207892XXXX,5,2,3,4,1,2,2,4.625775363
207772XXXX,1,5,6,,2,2,1,0.388206469
207567XXXX,1,2,6,,2,2,1,0.89284467
207846XXXX,1,4,2,3,1,2,2,0.479610184
207872XXXX,1,5,4,3,2,2,1,0.416351438
207363XXXX,1,4,3,2,2,2,2,0.524591059
207985XXXX,1,2,3,4,1,2,3,1.402832202
207737XXXX,1,4,6,,2,1,3,1.246490912
207363XXXX,1,4,6,,1,2,1,0.514381922
207647XXXX,1,2,3,4,1,2,3,0.514381922
207873XXXX,1,4,3,2,1,2,2,0.448147756
207247XXXX,5,4,2,3,1,1,3,1.313174934
207236XXXX,5,4,6,,2,1,2,1.164721108
207878XXXX,1,3,6,,2,2,2,1.365038349
207549XXXX,1,5,6,,2,2,3,0.388206469
207283XXXX,1,6,,,2,2,2,0.814063197
207799XXXX,1,6,,,2,2,2,0.524591059
207622XXXX,1,6,,,1,2,1,0.479610184
207363XXXX,1,6,,,2,2,2,0.232923882
207899XXXX,1,6,,,2,2,,0.388206469
207781XXXX,1,6,,,1,2,2,0.514381922
207761XXXX,1,6,,,1,2,1,0.24623922
207594XXXX,1,6,,,1,2,1,0.479610184
207298XXXX,1,6,,,1,2,3,1.402832202
207839XXXX,1,6,,,2,2,3,0.89284467
207799XXXX,1,6,,,1,2,2,0.479610184
207372XXXX,1,6,,,1,2,3,0.479610184
207871XXXX,1,6,,,2,2,3,0.362740125
207588XXXX,1,6,,,2,2,1,0.562623911
207582XXXX,1,6,,,1,2,3,1.402832202
207797XXXX,1,6,,,2,2,4,0.524591059
207892XXXX,1,6,,,1,2,2,1.402832202
207666XXXX,5,6,,,1,2,3,0.383476545
207655XXXX,5,6,,,1,2,2,0.727011638
207384XXXX,1,6,,,1,2,2,0.440152605
207315XXXX,5,6,,,2,1,1,1.184722409
207846XXXX,5,6,,,2,2,2,0.957575909
207536XXXX,1,6,,,2,2,4,0.314754635
207773XXXX,1,6,,,2,2,1,0.388206469
207596XXXX,1,6,,,2,2,2,0.524591059
207666XXXX,1,6,,,2,2,3,0.89284467
207238XXXX,5,6,,,2,2,1,1.247347779
207763XXXX,1,6,,,1,2,3,1.299533302
207467XXXX,1,6,,,1,2,2,0.28776611
207236XXXX,1,6,,,1,2,2,0.479610184
207948XXXX,1,6,,,1,1,3,0.442303146
207803XXXX,1,6,,,1,2,3,0.479610184
207833XXXX,1,6,,,1,1,2,1.410541665
207529XXXX,1,6,,,1,2,3,1.044443936
207781XXXX,1,6,,,2,2,2,0.388206469
207582XXXX,1,6,,,2,2,1,0.524591059
207763XXXX,1,6,,,2,1,3,1.359818904
207829XXXX,1,6,,,2,2,2,2.229634155
207354XXXX,1,6,,,2,2,3,0.388206469
207688XXXX,1,6,,,2,2,3,0.388206469
207839XXXX,1,6,,,2,2,2,0.388206469
207883XXXX,1,6,,,2,2,2,0.388206469
207885XXXX,1,6,,,2,2,2,0.524591059
207865XXXX,1,6,,,2,2,2,0.388206469
207872XXXX,1,6,,,2,2,2,0.562623911
207377XXXX,1,6,,,1,2,1,0.479610184
207773XXXX,1,6,,,1,2,1,0.479610184
207805XXXX,1,6,,,1,2,2,0.410398699
207867XXXX,1,6,,,1,2,3,0.479610184
207985XXXX,1,6,,,1,2,3,0.479610184
207763XXXX,1,6,,,1,2,3,1.211686063
207377XXXX,1,6,,,1,2,2,0.479610184
207563XXXX,1,6,,,1,2,3,0.479610184
207563XXXX,1,6,,,2,2,3,0.388206469
207625XXXX,1,6,,,2,2,3,0.488437918
207677XXXX,1,6,,,2,2,1,0.388206469
207360XXXX,5,6,,,2,2,1,0.490177886
207724XXXX,1,6,,,2,2,2,0.388206469
207934XXXX,1,2,4,6,2,2,1,1.365038349
207324XXXX,1,6,,,2,2,2,0.362740125
207377XXXX,5,6,,,2,2,3,0.524591059
207729XXXX,1,6,,,1,2,2,0.479610184
207499XXXX,5,6,,,2,2,3,0.490177886
207985XXXX,1,6,,,1,2,2,0.479610184
207382XXXX,1,6,,,2,2,1,0.819023009
207623XXXX,1,6,,,1,2,2,0.479610184
207985XXXX,1,6,,,1,2,1,0.479610184
207724XXXX,1,6,,,2,1,3,1.267896414
207646XXXX,5,6,,,2,2,3,0.490177886
207865XXXX,5,6,,,2,2,1,0.490177886
207623XXXX,1,6,,,2,2,4,0.524591059
207686XXXX,1,6,,,2,2,3,0.819023009
207883XXXX,1,6,,,2,2,3,1.365038349
207688XXXX,1,6,,,2,2,3,0.562623911
207251XXXX,1,6,,,2,2,2,0.416351438
207657XXXX,5,6,,,2,2,2,0.524591059
207637XXXX,1,6,,,2,2,3,0.524591059
207324XXXX,1,6,,,2,2,3,1.464003629
207892XXXX,5,6,,,2,2,3,0.232923882
207354XXXX,5,6,,,2,2,3,0.416351438
207727XXXX,5,6,,,2,2,3,0.83427406
207354XXXX,5,6,,,2,2,2,0.490177886
207846XXXX,1,6,,,1,1,3,1.444664692
207761XXXX,1,6,,,1,2,1,1.402832202
207799XXXX,1,6,,,1,2,2,0.514381922
207582XXXX,5,6,,,1,2,3,1.504537537
207687XXXX,5,6,,,1,2,3,0.448147756
207282XXXX,5,6,,,1,2,1,0.448147756
207354XXXX,1,6,,,2,2,2,1.464003629
207439XXXX,1,6,,,2,2,1,0.388206469
207766XXXX,1,6,,,2,2,3,0.388206469
207389XXXX,1,6,,,2,2,3,0.388206469
207303XXXX,1,6,,,2,2,,0.388206469
207644XXXX,1,6,,,2,2,3,0.388206469
207361XXXX,1,6,,,2,2,4,0.314754635
207883XXXX,1,6,,,2,2,2,0.524591059
207594XXXX,1,6,,,2,2,4,0.524591059
207883XXXX,1,6,,,2,2,2,2.078912965
207893XXXX,1,6,,,2,2,2,0.524591059
207629XXXX,1,6,,,2,2,4,0.388206469
207626XXXX,1,6,,,2,2,,0.388206469
207510XXXX,1,6,,,2,2,2,0.232923882
207621XXXX,1,6,,,2,2,2,0.388206469
207899XXXX,1,6,,,1,2,2,0.479610184
207799XXXX,1,6,,,1,1,2,0.442303146
207622XXXX,1,6,,,1,2,3,1.044443936
207582XXXX,1,6,,,1,2,2,0.514381922
207633XXXX,1,6,,,1,2,3,0.448147756
207594XXXX,1,6,,,1,2,2,0.479610184
207549XXXX,1,6,,,1,2,3,0.514381922
207839XXXX,1,6,,,1,1,2,0.975544247
207594XXXX,1,6,,,1,2,2,1.31080641
207395XXXX,1,6,,,1,2,2,0.479610184
207847XXXX,1,6,,,1,2,2,0.479610184
207283XXXX,5,6,,,1,2,,0.479610184
207622XXXX,1,6,,,1,2,2,0.479610184
207882XXXX,1,6,,,1,2,3,0.440152605
207494XXXX,5,6,,,1,2,1,0.28776611
207833XXXX,1,6,,,2,2,3,0.490177886
207563XXXX,1,6,,,2,2,3,1.365038349
207677XXXX,5,6,,,2,2,3,0.83427406
207899XXXX,1,6,,,1,2,2,0.479610184
207871XXXX,1,6,,,2,2,1,0.89284467
207623XXXX,1,6,,,2,2,3,0.416351438
207934XXXX,5,6,,,2,2,,0.490177886
207490XXXX,1,6,,,2,2,2,0.388206469
207363XXXX,1,6,,,2,2,2,0.388206469
207363XXXX,1,6,,,2,2,3,0.524591059
207885XXXX,1,6,,,2,2,2,0.89284467
207623XXXX,5,6,,,2,2,2,0.83427406
207956XXXX,1,6,,,2,2,1,0.388206469
207799XXXX,1,6,,,2,2,2,1.365038349
207529XXXX,5,6,,,2,2,3,1.275491833
207698XXXX,5,6,,,2,2,3,0.490177886
207703XXXX,5,6,,,2,2,4,0.314754635
207929XXXX,5,6,,,1,2,3,0.383476545
207967XXXX,5,6,,,1,1,1,1.046271204
207934XXXX,1,6,,,2,2,2,1.365038349
207395XXXX,5,6,,,2,2,3,0.562623911
207872XXXX,5,6,,,2,2,,0.760660651
207781XXXX,5,6,,,1,1,2,0.790616874
207877XXXX,5,6,,,2,2,1,0.562623911
207647XXXX,5,6,,,2,2,3,0.760660651
207324XXXX,1,6,,,2,2,3,0.388206469
207490XXXX,5,6,,,1,2,1,0.479610184
207529XXXX,5,6,,,1,2,3,0.514381922
207882XXXX,5,6,,,1,2,,1.31080641
207865XXXX,5,6,,,2,2,3,1.464003629
207793XXXX,5,6,,,2,2,2,1.275491833
207872XXXX,1,6,,,2,2,3,1.365038349
207846XXXX,1,6,,,2,2,2,0.388206469
207563XXXX,5,6,,,2,1,3,1.164721108
207594XXXX,1,6,,,1,1,3,0.73717191
207872XXXX,1,6,,,2,2,2,0.873082779
207443XXXX,5,6,,,2,2,,0.362740125
207324XXXX,5,6,,,1,2,,0.448147756
207985XXXX,5,6,,,1,2,3,0.383476545
207873XXXX,1,6,,,2,2,1,0.89284467
207549XXXX,1,6,,,2,2,,0.524591059
207873XXXX,1,6,,,2,2,3,0.524591059
207676XXXX,5,6,,,2,2,3,1.275491833
207353XXXX,5,6,,,1,1,3,1.926475791
207284XXXX,5,6,,,1,2,1,1.402832202
207443XXXX,5,6,,,1,2,3,0.448147756
207767XXXX,5,6,,,2,2,2,0.83427406
207873XXXX,5,6,,,2,2,3,0.362740125
207646XXXX,5,6,,,1,2,2,0.383476545
207832XXXX,5,6,,,1,2,2,0.448147756
207284XXXX,5,6,,,2,2,2,0.957575909
207230XXXX,5,6,,,1,2,1,0.448147756
207236XXXX,5,6,,,1,1,,1.224405533
207929XXXX,5,6,,,1,2,3,0.383476545
207872XXXX,3,2,6,,1,2,4,2.775465218
207646XXXX,5,4,6,,2,2,3,0.819023009
207303XXXX,1,2,3,6,2,1,2,0.760737848
207899XXXX,1,2,4,6,2,2,2,0.814063197
207648XXXX,6,,,,1,2,2,0.383476545
131000XXXX,5,6,,,1,2,3,0.440152605
151000XXXX,5,6,,,2,2,2,0.760660651
161000XXXX,1,2,5,3,1,2,3,0.383476545
171000XXXX,1,2,6,,2,2,1,1.247347779
181000XXXX,5,1,6,,2,1,3,1.336861503
221000XXXX,5,3,4,2,2,1,3,0.747894547
281000XXXX,1,6,,,2,1,2,0.937109936
321000XXXX,1,6,,,2,2,3,0.89284467
351000XXXX,5,6,,,2,2,3,0.388206469
381000XXXX,1,4,6,,2,2,3,0.488437918
421000XXXX,5,6,,,1,1,3,1.237034968
411000XXXX,1,4,3,2,2,2,2,0.814063197
431000XXXX,1,3,4,2,1,1,1,0.975544247
461000XXXX,5,1,2,4,1,1,1,0.911548544
471000XXXX,1,6,,,2,2,3,0.957575909
481000XXXX,1,6,,,2,2,3,0.89284467
491000XXXX,1,6,,,1,1,3,0.442303146
531000XXXX,5,2,1,4,2,1,1,0.747894547
591000XXXX,1,2,4,3,2,1,1,0.658539292
611000XXXX,1,4,6,,2,1,2,1.359818904
621000XXXX,1,6,,,1,1,2,1.046271204
661000XXXX,1,3,5,2,1,1,1,0.975544247
741000XXXX,1,6,,,1,1,1,2.407774486
781000XXXX,1,6,,,2,2,2,0.957575909
801000XXXX,1,2,3,4,1,2,1,0.479610184
811000XXXX,5,6,,,2,2,2,1.942536275
821000XXXX,5,6,,,2,1,2,0.658539292
851000XXXX,1,6,,,1,1,1,0.585326548
901000XXXX,5,6,,,2,1,3,1.45939254
871000XXXX,4,5,6,,2,1,3,1.330612828
881000XXXX,1,6,,,1,1,2,2.061724947
941000XXXX,1,6,,,2,2,3,0.562623911
971000XXXX,5,6,,,1,1,1,0.911548544
981000XXXX,5,4,3,2,1,2,3,0.727011638
100100XXXX,1,6,,,2,2,2,0.488437918
102100XXXX,5,6,,,2,2,2,0.490177886
104100XXXX,5,4,2,3,1,1,1,0.911548544
106100XXXX,1,6,,,2,2,3,0.416351438
111100XXXX,2,1,5,3,2,1,2,1.025565191
117100XXXX,1,3,4,2,1,1,3,1.046271204
118100XXXX,5,2,4,1,1,1,3,2.24982448
121100XXXX,5,1,3,2,1,1,2,0.911548544
124100XXXX,1,6,,,2,1,3,0.658539292
122100XXXX,1,6,,,2,2,3,1.247347779
123100XXXX,4,1,5,6,1,1,3,1.444664692
128100XXXX,5,6,,,1,2,2,1.132199457
131100XXXX,1,3,4,2,1,1,3,1.315190363
132100XXXX,5,1,2,3,1,1,1,0.911548544
133100XXXX,1,3,2,4,1,1,2,2.211200006
137100XXXX,1,3,6,,1,1,3,0.790616874
139100XXXX,5,4,6,,1,1,1,0.442303146
142100XXXX,4,3,2,6,2,1,3,0.747894547
144100XXXX,1,4,3,2,2,1,2,0.747894547
150100XXXX,1,6,,,2,2,1,0.535706802
152100XXXX,5,6,,,2,1,2,1.45939254
153100XXXX,1,6,,,2,1,2,1.267896414
158100XXXX,1,3,6,,2,2,2,1.247347779
157100XXXX,1,4,2,3,2,1,1,1.097565487
161100XXXX,5,6,,,1,1,2,0.688813433
162100XXXX,1,4,3,2,2,1,3,1.267896414
164100XXXX,5,1,2,3,1,1,1,0.585326548
168100XXXX,5,6,,,2,2,3,0.83427406
